@PARENT
# Bounded-pending NWA: n=128 max pending, k=3 max wait time
# q0  : no pending requests
# q_i : some (pending_count, age_of_oldest) for i >= 1
# s   : violation (too many pending or some request waited >= k steps)
final: q0

o : 0, q0 -> q0
g : 0, q0 -> q0
r : 1, q0 -> q1   # Call child 1

# State q1: pending=1, oldest_age=0
o : 0, q1 -> q2
g : 0, q1 -> q0
r : 1, q1 -> q5   # Call child 1

# State q2: pending=1, oldest_age=1
o : 0, q2 -> q3
g : 0, q2 -> q0
r : 1, q2 -> q6   # Call child 1

# State q3: pending=1, oldest_age=2
o : 0, q3 -> s
g : 0, q3 -> q0
r : 0, q3 -> s

# State q4: pending=2, oldest_age=0
o : 0, q4 -> q5
g : 0, q4 -> q0
r : 1, q4 -> q8   # Call child 1

# State q5: pending=2, oldest_age=1
o : 0, q5 -> q6
g : 0, q5 -> q0
r : 1, q5 -> q9   # Call child 1

# State q6: pending=2, oldest_age=2
o : 0, q6 -> s
g : 0, q6 -> q0
r : 0, q6 -> s

# State q7: pending=3, oldest_age=0
o : 0, q7 -> q8
g : 0, q7 -> q0
r : 1, q7 -> q11   # Call child 1

# State q8: pending=3, oldest_age=1
o : 0, q8 -> q9
g : 0, q8 -> q0
r : 1, q8 -> q12   # Call child 1

# State q9: pending=3, oldest_age=2
o : 0, q9 -> s
g : 0, q9 -> q0
r : 0, q9 -> s

# State q10: pending=4, oldest_age=0
o : 0, q10 -> q11
g : 0, q10 -> q0
r : 1, q10 -> q14   # Call child 1

# State q11: pending=4, oldest_age=1
o : 0, q11 -> q12
g : 0, q11 -> q0
r : 1, q11 -> q15   # Call child 1

# State q12: pending=4, oldest_age=2
o : 0, q12 -> s
g : 0, q12 -> q0
r : 0, q12 -> s

# State q13: pending=5, oldest_age=0
o : 0, q13 -> q14
g : 0, q13 -> q0
r : 1, q13 -> q17   # Call child 1

# State q14: pending=5, oldest_age=1
o : 0, q14 -> q15
g : 0, q14 -> q0
r : 1, q14 -> q18   # Call child 1

# State q15: pending=5, oldest_age=2
o : 0, q15 -> s
g : 0, q15 -> q0
r : 0, q15 -> s

# State q16: pending=6, oldest_age=0
